AdaptationID;AdaptedWork;Alternative Title;Author;Director;ProducingCompany;Country;City;Year;Date;Involved exiles;URL;;;;;;;;;;
45;El Puente Del Mundo;;Lope De Vega;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1944;dic-44;Enrique Garcia Alvarez & Manuel Nogales (directors), Lucio Lopez Rey (stage design), Assumpcio Casals (actress), Gustavo Rojo (actor), Jose Mora (actor), Francisco Jambrina (actor), Jesus Valero (actor);https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;
46;La Guarda Cuidadosa;;Miguel De Cervantes;Jose Estruch;Jovenes vascos;UK;;1944;dic-44;;;;;;;;;;;;
47;La Dama Boba;;Lope De Vega;Margarita Xirgu;Compañía de Margarita Xirgu;Paraguay;Asunción;1944;;Margarita Xirgu (director), Santiago Ontañón (set designer);;;;;;;;;;;
48;Los Habladores;The Talkers;Miguel De Cervantes;Amelia A. Del Rio ;Wigs and Cues;US;New York;1944;15/8/44;;https://digitalcollections.barnard.edu/do/7df42bfb-78c6-4a28-88a8-f0c8517acde9#page/2/mode/2up/search/cervantes;;;;;;;;;;
49;Reinar Despues De Morir;;Luis Velez De Guevara;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1945;11/5/45;Enrique Garcia Alvarez & Manuel Casals (directors), Assumpcio Casals (actress), Micaela de Castejon (actress), Gustavo Rojo (actor);;;;;;;;;;;
50;El Alcalde De Zalamea;;Pedro Calderon De La Barca;Enrique Garcia Alvarez/ Manuel Nogales;;Mexico;Mexico City;1945;;;https://www.cervantesvirtual.com/obra/ano-ii-num-5-junio-septiembre-de-1957/;;;;;;;;;;
51;Fuente Ovejuna;;Lope De Vega;Margarita Xirgu;Margarita Xirgu;Peru;Lima;1945;;Santiago Ontañon (set designer);;;;;;;;;;;
52;El Dragoncillo;;Pedro Calderon De La Barca;Edmundo Barbero;alumnos Escuela Nacional de Arte Escénico;Peru;Lima;1945;9/3/45;Edmundo Barbero (director), Santiago Ontanon (consultant);;;;;;;;;;;
53;Rinconete y Cortadillo;;Miguel De Cervantes;Jose Estruch;Hogar Espanol;UK;London;1945;30/12/45;;;;;;;;;;;;
54;La Cueva de Salamanca;;Miguel De Cervantes;Jose Estruch;Pedro Del Rincon;UK;London;1945;1/11/45;;;;;;;;;;;;
55;El Retablo De Las Maravillas;;Miguel De Cervantes;Daniel Castillejo;Cambridge University Spanish Society;UK;Cambridge;1945;18/03/1945;;;;;;;;;;;;
56;El Retablo De Las Maravillas;;Miguel De Cervantes;;Play reading-circle;UK;Cambridge;1945;5/12/45;The adaptation took place in Luis Cernuda’s rooms;;;;;;;;;;;
57;El Burlador De Sevilla;;Tirso De Molina;;Instituto Hispanico;US;New York;1945;1/3/45;;https://www.jstor.org/stable/30219722;;;;;;;;;;
58;Auto De Los Cuatro Tiempos;Auto De Las Cuatro Estaciones;Gil Vicente;;Instituto Hispanico;US;New York;1946;4/11/46;;"https://www.jstor.org/stable/30219722?seq=1; https://digitalcollections.barnard.edu/do/980563ca-65bf-4f65-b0b5-9390c26e54d1#page/2/mode/2up/search/gil+vicente";;;;;;;;;;
60;El Juez De Los Divorcios;;Miguel De Cervantes;Edmundo Barbero;alumnos Escuela Nacional de Arte Escénico;Peru;Lima;1946;16/12/1946;Edmundo Barbero (director), Santiago Ontanon (consultant);;;;;;;;;;;
61;El Viejo Celoso;;Miguel De Cervantes;Edmundo Barbero;alumnos Escuela Nacional de Arte Escénico;Peru;Lima;1946;7/1/46;Edmundo Barbero (director), Santiago Ontanon (consultant);;;;;;;;;;;
62;Quijote;Sancho Panza en la ínsula Barataria;Miguel De Cervantes;;El Teatro Rodante Universitario;Puerto Rico;San Juan ;1946;7/1/46;Alejandro Casona (adapter), Pedro Salinas (consultant);;;;;;;;;;;
63;Egloga VII;;Juan Del Encina;Jose Estruch;Grupo Teatral Hogar Español;UK;Londres;1946;12/6/46;;;;;;;;;;;;
64;El Retablo De Las Maravillas;;Miguel De Cervantes;Jose Estruch;Grupo Teatral Del Hogar Español;UK;Londres;1946;;José Estruch (director), Helvecia Garcia (actress);;;;;;;;;;;
65;El Retablo De Las Maravillas;;Miguel De Cervantes;;Club Español ;USSR;Moscow;1946;;Alberto Sanchez (set designer);;;;;;;;;;;
66;La Guarda Cuidadosa;;Miguel De Cervantes;Alberto de Paz y Mateos;Teatro Experimental Del Liceo Fermín Toro;Venezuela;Caracas;1946;;Alberto de Paz y Mateos (director);;;;;;;;;;;
67;Quijote;Sancho Panza En La Insula ;Miguel De Cervantes;;;Argentina;Buenos Aires;1946;;Alejandro Casona (adapter);;;;;;;;;;;
68;Quijote;Las Bodas De Camacho;Miguel De Cervantes;Reynaldo de Zúñiga;Patronato del Teatro;Cuba;;1947;oct-47;Angel Lazaro (adapter);;;;;;;;;;;
