WorkID;AdaptedWork;Alternative Title;Author;Director;ProducingCompany;Country;City;Year;Date;Involved exiles;URL;;;;;;;;;;;
131;Reinar Despues De Morir;;Luis Velez De Guevara;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1954;15/05/1954;"Alvaro Custodio (director, adapter); Isabel Richart & Esther Bolio (dressmakers); Jesus Bal y Gay (composer)";;;;;;;;;;;;
132;La Dama Boba;;Lope De Vega;Nilda González;Teatro de la Universidad de Puerto Rico;Puerto Rico;;1954;6/12/54;Carlos Marichal (set designer);;;;;;;;;;;;
133;La Cueva De Salamanca;;Miguel De Cervantes;Jose Estruch;Club de Teatro;Uruguay;Montevideo;1954;;Jose Estruch (director);;;;;;;;;;;;
134;Qujote;Sancho Panza En La Insula;Miguel De Cervantes;;Teatro Experimental De La Universidad De Chile;Chile;;1954;;Alejandro Casona (adapter);;;;;;;;;;;;
135;El Alcalde De Zalamea;;Pedro Calderon De La Barca;;Club Espanol De Moscu;USSR;;1954;;Alberto Sanchez (set designer);;;;;;;;;;;;
136;Fuente Ovejuna;The Sheep-well;Lope De Vega;Joan Littlewood;Theatre Workshop;UK;Stratford;1955;27/09/1955;Luis De Meana;;;;;;;;;;;;
137;Don Gil De Las Calzas Verdes;;Tirso De Molina;Margarita Xirgu;Comedia Nacional De Uruguay;Uruguay;Montevideo;1955;10/7/55;"Margarita Xirgu (director); Jose Ricardo Morales (adapter)";;;;;;;;;;;;
138;;;Lope De Rueda;Laura De Los Rios Giner;Spanish Club (Barnard);US;New York;1955;21/04/1955;;https://digitalcollections.barnard.edu/do/518d08e6-bbec-4eff-a929-6e622449ef6c#page/4/mode/2up/search/rueda;;;;;;;;;;;
139;La Celestina;;Fernando De Rojas;Margarita Xirgu;Teatro Nacional Cervantes de Buenos Aires;Argentina;Buenos Aires;1956;27/4/56;Margarita Xirgu (director, actress), Jose Ricardo Morales (adapter);http://margaritaxirgu.es/castellano/biografc/biografc.htm;;;;;;;;;;;
140;Fuente Ovejuna;;Lope De Vega;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Chimalistac;1956;feb-56;"Alvaro Custodio (director, adapter); Pilar Sen (actress); Jesus Bal y Gay (composer)";;;;;;;;;;;;
141;El Castigo Sin Venganza;;Lope De Vega;Alvaro Custodio;Teatro Espanol de México;Mexico;Jalisco;1956;21/07/1956;"Alvaro Custodio (director, adapter); Aurora Molina (actress)";;;;;;;;;;;;
142;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;San Luis De Potosi;1956;30/05/1956;"Alvaro Custodio (director, adapter); Jesus Bal y Gay (composer)";;;;;;;;;;;;
143;La Vida Es Sueno;;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Guadalajara;1956;jul-56;Alvaro Custodio (director, adapter);;;;;;;;;;;;
144;El Alcalde De Zalamea;;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Guadalajara;1956;20/07/1956;Alvaro Custodio (director, adapter);;;;;;;;;;;;
145;Los Habladores;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;Parque del Plata;1956;feb-56;;;;;;;;;;;;;
146;La Guarda Cuidadosa;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;Parque del Plata;1956;feb-56;;;;;;;;;;;;;
147;El Retablo De Las Maravillas;Los Comediantes De Maese Pedro;Miguel De Cervantes;Jose Estruch;Club De Teatro;Uruguay;Parque del Plata;1956;feb-56;;;;;;;;;;;;;
148;El Anzuelo De Fenisa;;Lope De Vega;Alejandro Casona;;Argentina;Buenos Aires;1957;;;;;;;;;;;;;;
149;Los Habladores;;Miguel De Cervantes;;Barnard College Spanish Department;US;New York;1957;23/04/1957;;https://digitalcollections.barnard.edu/do/12c1274c-4e24-46b7-836e-9b26cc605b17#page/2/mode/2up/search/cervantes;;;;;;;;;obra realizada con títeres;;
150;El Retablo De Las Maravillas;;Miguel De Cervantes;Lawrence Wismer;Spanish Department of Amherst and Mount Holyoke;US;South Hadley;1957;15/1/57;;https://compass.fivecolleges.edu/islandora/object/mtholyoke:100799?=6&search_api_fulltext=CERVANTES;;;;;;;;;;;
151;Los Habladores;;Miguel De Cervantes;Amparo Segarra;Escuela Espanola de Middlebury College ;US;Middlebury;1957;;Amparo Segarra (director);;;;;;;;;;;;
152;La Cueva de Salamanca;;Miguel De Cervantes;Amparo Segarra;Escuela Espanola de Middlebury College ;US;Middlebury;1957;19/7/57;Amparo Segarra (director);;;;;;;;;;;;
153;El Caballero De Olmedo;Le Chevalier d'Olmedo;Lope De Vega;Albert Camus;;France;Angers;1957;21/6/57;Maria Casares (translator);;;;;;;;;;;;
154;La Celestina;;Fernando De Rojas;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1957;nov-57;Teatro Español de México;Ciudad de Mexico;Mexico;;;;;;;;;;
155;Don Gil De Las Calzas Verdes;;Tirso De Molina;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Durango;1957;jul-57;;;;;;;;;;;;;
156;La Discreta Enamorada;;Lope de Vega;Margarita Ucelay;Barnard College Spanish Department;US;New York;1958;21/02/1958;"Margarita Ucelay (director); Teresa Castroviejo (actress); Laura de los Rios Giner (actress); Ernesto Guerra Da Cal (actor)";https://www.cervantesvirtual.com/portales/soledad_carrasco/fotos_discreta_enamorada/imagen/fotos_discreta_enamorada_005/;;;;;;;;;;;
157;La Cueva De Salamanca;;Miguel De Cervantes;Miella d'Ambrosio;Spanish Club (Barnard);US;New York;1958;15/04/1958;Estudiantes Barnard College;https://digitalcollections.barnard.edu/do/bb4143ce-56a8-48b1-b695-83d4c655b017;;;;;;;;;;;
158;El Alcalde De Zalamea;;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Espanol de Mexico;Mexico;Mexico City;1958;30/10/58;;;;;;;;;;;;;
159;La Vida Es Sueno (Auto);;Pedro Calderon De La Barca;Laura De Los Rios Giner/ Margarita Ucelay;Barnard College Spanish Department;US;New York;1958;8/12/58;"Laura de los Rios Giner & Margarita Ucelay (directors); Marcial Rodriguez Fernandez (set designer)";https://digitalcollections.barnard.edu/cantaloupe/iiif/2/cbb%2Fapplication-bc12-03-19581204-49f7f234-20ba-46bf-9932-760782e4081d.pdf/full/full/0/default.jpg?page=3;;;;;;;;;;;
160;Los Melindres De Belisa;;Lope De Vega;;Club Espanol De Moscu;USSR;Moscow;1958;;;;;;;;;;;;;;
161;La Estrella De Sevilla;;Lope De Vega;Jose Estruch;Club De Teatro;Uruguay;Montevideo;1958;23/08/1958;Jose Estruch (director);;;;;;;;;;;;
162;La Dama Boba;;Lope De Vega;Alberto De Paz Y Mateos;Grupo de Teatro del Ateneo de Caracas;Venezuela;Caracas;1958;17/12/58;Alberto de Paz y Mateos (director, set designer);;;;;;;;;;;;
163;El Anzuelo De Fenisa;;Lope De Vega;Jose Estruch;El Galpon;Uruguay;Montevideo;1958;;Jose Estruch (director), Alejandro Casona (adapter);;;;;;;;;;;;
164;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;Montserrat Julio Nonell;Sociedad De Arte Escenico Del Teatro Municipal De Santiago;Chile;Santiago De Chile;1959;;Montserrat Julio Nonell (founder and director of the theatre company);;;;;;;;;;;;
165;La Guarda Cuidadosa;;Miguel De Cervantes;;Barnard College Spanish Department;US;New York;1959;27/02/1959;Faculty Spanish Studies;"https://digitalcollections.barnard.edu/do/6d737856-01a2-4618-bcdb-1f20f4db5bc5#mode/2up/search/cervantes ; https://digitalcollections.barnard.edu/do/36155dc8-4593-4d34-b306-43296d66ec6b";;;;;;;;;;;
166;Quijote;La Estratosfera;Miguel De Cervantes;Jose Martin Elizondo;Los Amigos Del Teatro Español;France;Toulouse;1959;;"Jose Martin Elizondo (director); Pedro Salinas (author-adapter)";;;;;;;;;;;;
167;La Tierra De Jauja;;Lope De Rueda;;Spanish Club (Barnard);US;New York;1960;19/04/1960;Laura de Los Rios Giner & Margarita Ucelay (puppet masters);https://digitalcollections.barnard.edu/do/9ebae5c9-a727-43e9-9aae-3694080ef8e5#page/2/mode/2up/search/cervantes;;;;;;;;;;;
168;La Entretenida;;Miguel De Cervantes;Jose Martin Elizondo;Los Amigos Del Teatro Espanol;France;Toulouse;1960;19/11/1960;Jose Martin Elizondo (director);;;;;;;;;;;;
169;El Magico Prodigioso;;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Clasico de Mexico;Mexico;Ciudad de Mexico;1960;mar-60;Alvaro Custodio (director), Isabel Richart (dressmaker);;;;;;;;;;;;
170;La Vida Es Sueno (Auto);;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Clasico de Mexico;Mexico;Tlalmanalco de Velazquez;1960;oct-60;Alvaro Custodio (director);;;;;;;;;;;;
171;La Dama Boba;;Lope De Vega;Jose Estruch;Comedia Nacional del Uruguay;Uruguay;Montevideo;1960;23/9/60;Jose Estruch (director), Manuel Fontanals (costume designer), Enrique Casal Chapi (composer);;;;;;;;;;;;
172;El Perro Del Hortelano;;Lope De Vega;Jose Estruch;Escuela Multidisciplinaria de Arte Dramatico;Uruguay;Montevideo;1960;19/12/1960;Jose Estruch (director);;;;;;;;;;;;
173;El Burlador De Sevilla;;Tirso De Molina;Alejandro Casona;Compania Del Teatro Nacional Cervantes;Argentina;Buenos Aires;1961;5/4/61;Alejandro Casona (director);;;;;;;;;;;;
174;El Gran Teatro Del Mundo;;Pedro Calderon De La Barca;Amelia A. Del Rio ;Spanish Club (Barnard);US;New York;1961;19/12/1961;;https://digitalcollections.barnard.edu/do/095e0493-7373-475c-80f6-d5ff8de9842c#page/2/mode/2up/search/calderon;;;;;;;;;;https://digitalcollections.barnard.edu/do/095e0493-7373-475c-80f6-d5ff8de9842c#page/2/mode/2up/search/calderon;
175;La Vida Es Sueno (Auto);;Pedro Calderon De La Barca;Jose Estruch;Escuela Multidisciplinaria de Arte Dramatico;Uruguay;Montevideo;1961;13/11/1961;Jose Estruch (director);;;;;;;;;;;;
176;La Cueva de Salamanca;;Miguel De Cervantes;Jose Estruch;Escuela Multidisciplinaria de Arte Dramatico;Uruguay;Montevideo;1961;13/11/1961;Jose Estruch (director);;;;;;;;;;;;
177;La Cueva de Salamanca;;Miguel De Cervantes;Concha De Albornoz & Ruth Sedwick;Spanish Department and Laboratory Theatre;US;South Hadley;1961;13/1/61;Concha de Albornoz (director);https://compass.fivecolleges.edu/islandora/object/mtholyoke%3A107445?=0&search_api_fulltext=cervantes;;;;;;;;;;;
178;Peribanez Y El Comendador De Ocaña;;Lope De Vega;Alejandro Casona;;Argentina;Buenos Aires;1962;;;;;;;;;;;;;;
179;La Maya;;Lope De Vega;;Barnard College Spanish Department;US;New York;1962;17/12/1962;Victor Fuentes (actor);https://digitalcollections.barnard.edu/do/839bceb8-4828-4464-966c-075d10397843#page/2/mode/2up/search/%22MAYA%22;;;;;;;;;;;
180;Amar Sin Saber A Quien;;Lope De Vega;Jose Martin Elizondo;Los Amigos Del Teatro Espanol;France;Montauban;1962;27/06/1962;Jose Martin Elizondo (director);;;;;;;;;;;;
181;Peribanez Y El Comendador De Ocana;;Lope De Vega;Margarita Xirgu;Comedia Nacional del Uruguay;Uruguay;Montevideo;1962;17/05/1962;Margarita Xirgu (director), Miguel Ortin (assistant director), Gori Munoz (set designer), Jaume Pahissa (composer);;;;;;;;;;;;
182;Las Bizarrias De Belisa;;Lope De Vega;Jose Estruch;Escuela Multidisciplinaria de Arte Dramatico;Uruguay;Montevideo;1962;28/07/1962;Jose Estruch (director);;;;;;;;;;;;
183;La Dama Boba;;Lope De Vega;Margarita Xirgu;;Argentina;Buenos Aires;1962;;;;;;;;;;;;;;
184;La Discreta Enamorada;Doña Francisquita;Lope De Vega;;S.O.D.R.E.;Uruguay;Montevideo;1962;30/3/62;Jose Estruch (director);;;;;;;;;;;;
185;La Maya;;Lope De Vega;;Spanish Club (Barnard);US;New York;1963;28/03/1963;;https://digitalcollections.barnard.edu/do/f6fdd16f-99f8-4425-b1a8-66acaa9f36a6#page/2/mode/2up/search/maya;;;;;;;;;;;
186;La Celestina;Funcion X Aniversario;Fernando De Rojas;Alvaro Custodio;Teatro Clasico de Mexico;Mexico;Mexico City;1963;sept-63;;;;;;;;;;;;;
187;La Vida Es Sueno (Auto);Función X Aniversario: fragmentos de La Celestina, La vida es sueno (auto), El regreso de Quetzalcatl, Fuente Ovejuna, Coplas por la muerte de su padre;Pedro Calderon De La Barca;Alvaro Custodio;Teatro Clasico de Mexico;Mexico;Mexico City;1963;sept-63;;;;;;;;;;;;;
188;Fuente Ovejuna;Función X Aniversario: fragmentos de La Celestina, La vida es sueno (auto), El regreso de Quetzalcatl, Fuente Ovejuna, Coplas por la muerte de su padre;Lope De Vega;Alvaro Custodio;Teatro Clasico de Mexico;Mexico;Mexico City;1963;sept-63;;;;;;;;;;;;;
189;Don Gil De Las Calzas Verdes;;Tirso de Molina;;Teatro Español de México;Mexico;?;1963;28/03/1963;Alvaro Custodio (adapter);https://elpais.com/cultura/2019/06/28/actualidad/1561730947_797874.html;;;;;;;;;;;
190;El Anzuelo De Fenisa;;Lope De Vega;Jose Estruch;El Galpon;Uruguay;Montevideo;1963;15/02/1963;Jose Estruch (director);;;;;;;;;;;;
191;La Dama Boba;;Lope De Vega;Jose Estruch;Comedia Nacional De Uruguay;Uruguay;;1963;;;;;;;;;;;;;;
192;Fuente Ovejuna;;Lope De Vega;Alberto Castilla;Teatro Nacional Universitario;Italy;Parma;1965;7/4/65;Alberto Castilla (director);;;;;;;;;;;;
193;La Vida Es Sueno (Auto);;Pedro Calderon De La Barca;Ludwick Margules;Teatro Clasico de Mexico;Mexico;Acolman;1965;24/04/1965;Isabel Richart (dressmaker);;;;;;;;;;;;
194;Mudarse Por Mejorarse;;Juan Ruiz De Alarcon;Jose Luis Ibañez;;Mexico;Mexico City;1965;;Vicente Rojo (set designer);;;;;;;;;;;;
195;Medora;Burla Por Burla;Lope De Rueda;Jose Estruch;Grupo 65;Uruguay;Montevideo;1965;22/10/1965;Jose Estruch (director);;;;;;;;;;;;
196;El Viejo Celoso;;Miguel De Cervantes;Alberto Castilla;Teatro Estudio De La Universidad Nacional De Bogota;Colombia;Bogota;1967;;Alberto Castilla (director);;;;;;;;;;;;
197;La Vida Es Sueno;;Pedro Calderon De La Barca;;Spanish Club (Barnard);US;New York;1967;dec-1967;?;https://digitalcollections.barnard.edu/do/2ad7d277-50cf-4f9f-b8a0-119e24fc2645#page/4/mode/2up/search/vida+es+sueno;;;;;;;;;cuentan en artículo de revista Barnard que la obra sería televisada por Columbia University on channel 47, sponsored by the Hispanic Society;https://digitalcollections.barnard.edu/do/2ad7d277-50cf-4f9f-b8a0-119e24fc2645#page/4/mode/2up/search/vida+es+sueno;
